代码,名称,总市值,成交量
002714,牧原股份,264015730646.0,498964
000791,甘肃能源,21571534284.0,339073
603392,万泰生物,59755203917.0,56830
002185,华天科技,38161504145.0,1443349
000559,万向钱潮,62991810436.0,3478365
000539,粤电力Ａ,24098803496.0,253595
600350,山东高速,46798645586.0,92119
603379,三美股份,34748466786.0,77216
002601,龙佰集团,47136584067.0,222725
002405,四维图新,25199996893.0,1919714
600655,豫园股份,20668953430.0,168104
601869,长飞光纤,88908729548.0,111091
601878,浙商证券,50906356592.0,479079
600977,中国电影,31253580000.0,775317
600704,物产中大,29992843362.0,866977
600028,中国石化,723134575048.0,2505507
002670,国盛证券,33264105185.0,372024
002603,以岭药业,29755262747.0,306322
600522,中天科技,61467223233.0,1602697
600938,中国海油,1410689034245.0,785300
000519,中兵红箭,26430769478.0,710241
002747,埃斯顿,21888693724.0,448890
600486,扬农化工,27975551723.0,41674
301656,联合动力,65386264843.0,101567
600428,中远海特,20277571719.0,401588
002138,顺络电子,30083737788.0,211578
002673,西部证券,36382395079.0,511462
002841,视源股份,29357977868.0,75054
301626,苏州天脉,20650036800.0,12489
002249,大洋电机,26717595444.0,1252784
000733,振华科技,30728694949.0,386591
002812,恩捷股份,51939800845.0,343371
002179,中航光电,80939136821.0,1240437
600566,济川药业,24047085186.0,40530
002639,雪人集团,21115217525.0,2846746
002171,楚江新材,23272929084.0,2378871
002028,思源电气,126887552609.0,177506
601059,信达证券,57822690000.0,338262
002202,金风科技,143525547969.0,8963325
002484,江海股份,25388139639.0,421486
600835,上海机电,30978773639.0,167434
603345,安井食品,28649516595.0,50798
601136,首创证券,52726009002.0,181234
600516,方大炭素,24075302801.0,1057621
002032,苏 泊 尔,35748657689.0,36529
601969,海南矿业,22720082614.0,676982
600517,国网英大,36540804404.0,735183
002271,东方雨虹,34110634086.0,321613
601866,中远海发,33917975457.0,859312
600256,广汇能源,32279614968.0,1086309
301550,斯菱智驱,41629500000.0,110338
600150,中国船舶,269718266962.0,908737
600060,海信视像,31227986038.0,223004
600089,特变电工,138244404743.0,4602030
605090,九丰能源,33687962685.0,428467
600292,电投水电,58913773403.0,273185
600188,兖矿能源,140524727616.0,274998
601456,国联民生,56124256923.0,579901
002056,横店东磁,32729446929.0,337839
002532,天山铝业,83919009334.0,494305
002340,格林美,44556428367.0,3040821
601236,红塔证券,39998360052.0,220849
000786,北新建材,43526175594.0,183753
600535,天士力,22917193077.0,162307
000983,山西焦煤,39399081349.0,598803
601995,中金公司,172284797619.0,340934
002568,百润股份,23036611753.0,86880
603341,龙旗科技,24254997724.0,286654
600918,中泰证券,53132068083.0,376822
002517,恺英网络,56167092622.0,968418
002500,山西证券,22148890445.0,377576
600999,招商证券,150362948476.0,660535
600760,中航沈飞,169822173369.0,470917
600848,上海临港,30446418138.0,234312
600578,京能电力,36820415583.0,632081
601336,新华保险,259920622712.0,341278
600690,海尔智家,242411726453.0,489552
601816,京沪高铁,250499478374.0,1267870
000708,中信特钢,79442266999.0,164728
601881,中国银河,175278468164.0,529505
600499,科达制造,28326738895.0,481807
600153,建发股份,27168676223.0,186604
603658,安图生物,21359857828.0,43680
600369,西南证券,30501050879.0,577306
000766,通化金马,26182341613.0,329324
603290,斯达半导,24086241210.0,56312
601158,重庆水务,21648104077.0,110953
600925,苏能股份,31757777778.0,98115
000750,国海证券,27843720720.0,1215209
600584,长电科技,75334353397.0,1018697
301358,湖南裕能,46363317818.0,261936
603501,豪威集团,160806936535.0,261890
603899,晨光股份,25501669739.0,71288
003022,联泓新科,26898339520.0,140247
601990,南京证券,35812970251.0,310028
000651,格力电器,225344552960.0,461470
000623,吉林敖东,24216881587.0,221547
601966,玲珑轮胎,21601299601.0,142670
600176,中国巨石,70495237780.0,378537
601799,星宇股份,36158444063.0,18788
002001,新 和 成,77542428986.0,287978
002430,杭氧股份,31277990392.0,311563
600196,复星医药,75039064033.0,340279
603688,石英股份,20789612732.0,114155
600995,南网储能,42538837265.0,288211
000686,东北证券,22491752513.0,658488
600109,国金证券,35386234891.0,513385
001965,招商公路,66456029022.0,109022
600004,白云机场,24354961451.0,244426
002007,华兰生物,28599696823.0,232051
600008,首创环保,22168583845.0,766080
601333,广深铁路,21604787850.0,542052
000408,藏格矿业,140676524495.0,237196
601126,四方股份,29186418005.0,592030
600166,福田汽车,22960461064.0,1410438
600295,鄂尔多斯,40022500432.0,178687
001872,招商港口,48047512190.0,34587
600309,万华化学,245679413208.0,355112
601872,招商轮船,90192595067.0,1485533
600050,中国联通,167264675499.0,4704299
601717,中创智领,42599642330.0,221844
000898,鞍钢股份,23891514208.0,485236
601998,中信银行,423459684829.0,994604
600909,华安证券,34012091772.0,1312229
605358,立昂微,27492904366.0,530326
000709,河钢股份,24912461832.0,1522839
601606,长城军工,35356830488.0,475583
600233,圆通速递,57191222752.0,149789
600703,三安光电,71692199107.0,2815821
302132,中航成飞,220447538520.0,250576
601865,福莱特,37743800554.0,189690
002739,万达电影,24454397439.0,1276423
000895,双汇发展,88695327053.0,151689
000088,盐 田 港,23397675057.0,268879
600887,伊利股份,173378135882.0,557667
600741,华域汽车,63117534160.0,127791
002078,太阳纸业,43119676886.0,224041
600598,北大荒,27109618612.0,310652
600895,张江高科,69923333183.0,899560
600930,华电新能,264885714284.0,1168842
600398,海澜之家,29729148132.0,407365
600905,三峡能源,118638748089.0,1310073
603606,东方电缆,40685241171.0,117438
600390,五矿资本,27303257336.0,1318610
001391,国货航,73131198538.0,360899
600642,申能股份,39103694214.0,201910
601198,东兴证券,44930992728.0,546764
600521,华海药业,26351637594.0,667266
603979,金诚信,47632488791.0,128434
000429,粤高速Ａ,23897914020.0,65698
603516,淳中科技,52829425712.0,94553
003816,中国广核,194924638846.0,1692818
000831,中国稀土,55692867951.0,514231
600600,青岛啤酒,85030281892.0,50013
601018,宁波港,71203061540.0,489935
601156,东航物流,29211022230.0,196604
603360,百傲化学,20988966997.0,169542
601991,大唐发电,67919627550.0,1496647
600548,深高速,22333133918.0,71781
000166,申万宏源,133713303950.0,1210084
603806,福斯特,36470173890.0,334534
601128,常熟银行,23116144233.0,404910
600132,重庆啤酒,25171342008.0,26200
000783,长江证券,48332837566.0,1165752
002939,长城证券,41715974725.0,522853
603198,迎驾贡酒,31464000000.0,58971
000728,国元证券,37484852084.0,482761
000625,长安汽车,116490511205.0,958387
002384,东山精密,139037327754.0,556104
600098,广州发展,23278943474.0,255101
600057,厦门象屿,23207614900.0,261902
600562,国睿科技,38398244413.0,343372
601901,方正证券,66926984341.0,2592477
601880,辽港股份,38421980557.0,1414935
603338,浙江鼎力,28639036036.0,55364
600061,国投资本,50128832498.0,559278
601021,春秋航空,56107421809.0,51604
600674,川投能源,68098257387.0,195112
