factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_cashflow_diff_fd_cashflow_raw_07__fd_cashflow_raw_09,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标07-现金流原始指标09差值,比较 现金流原始指标07 与 现金流原始指标09 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_07__fd_cashflow_raw_09 = 列(现金流原始指标07) - 列(现金流原始指标09),fund_cashflow diff fd_cashflow_raw_07-fd_cashflow_raw_09,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_08__fd_cashflow_raw_09,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标08-现金流原始指标09差值,比较 现金流原始指标08 与 现金流原始指标09 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_08__fd_cashflow_raw_09 = 列(现金流原始指标08) - 列(现金流原始指标09),fund_cashflow diff fd_cashflow_raw_08-fd_cashflow_raw_09,False,fundamental
fund_cashflow_lvl_fd_cashflow_disp,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流离散度原值,直接使用 现金流离散度 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_disp = 列(现金流离散度),fund_cashflow level fd_cashflow_disp,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_01,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01原值,直接使用 现金流原始指标01 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_01 = 列(现金流原始指标01),fund_cashflow level fd_cashflow_raw_01,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_02,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标02原值,直接使用 现金流原始指标02 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_02 = 列(现金流原始指标02),fund_cashflow level fd_cashflow_raw_02,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_03,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标03原值,直接使用 现金流原始指标03 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_03 = 列(现金流原始指标03),fund_cashflow level fd_cashflow_raw_03,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_04,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标04原值,直接使用 现金流原始指标04 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_04 = 列(现金流原始指标04),fund_cashflow level fd_cashflow_raw_04,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_05,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标05原值,直接使用 现金流原始指标05 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_05 = 列(现金流原始指标05),fund_cashflow level fd_cashflow_raw_05,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_06,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标06原值,直接使用 现金流原始指标06 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_06 = 列(现金流原始指标06),fund_cashflow level fd_cashflow_raw_06,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_07,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标07原值,直接使用 现金流原始指标07 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_07 = 列(现金流原始指标07),fund_cashflow level fd_cashflow_raw_07,False,fundamental
fund_cashflow_lvl_fd_cashflow_raw_08,D,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标08原值,直接使用 现金流原始指标08 作为 基本面现金流包 信号，反映该基础指标的绝对水平。,fund_cashflow_lvl_fd_cashflow_raw_08 = 列(现金流原始指标08),fund_cashflow level fd_cashflow_raw_08,False,fundamental
