factor,freq,category,description
minute_ret_kurt_5m,15min,auto_panel,auto passthrough: minute_ret_kurt_5m
minute_ret_skew_5m,15min,auto_panel,auto passthrough: minute_ret_skew_5m
minute_up_ratio_5m,15min,auto_panel,auto passthrough: minute_up_ratio_5m
morning_momentum_30m,15min,auto_panel,auto passthrough: morning_momentum_30m
open,15min,auto_panel,auto passthrough: open
open_to_close_intraday,15min,auto_panel,auto passthrough: open_to_close_intraday
px_daily_close,15min,auto_panel,auto passthrough: px_daily_close
px_open5,15min,auto_panel,auto passthrough: px_open5
px_twap_last30,15min,auto_panel,auto passthrough: px_twap_last30
px_vwap30,15min,auto_panel,auto passthrough: px_vwap30
range_norm,15min,volatility,range norm negative
realized_vol_20,15min,auto_panel,auto passthrough: realized_vol_20
ret_1,15min,trend,1-bar return
ret_10d,15min,auto_panel,auto passthrough: ret_10d
ret_12,15min,trend,12-bar return
ret_1d,15min,auto_panel,auto passthrough: ret_1d
ret_20d,15min,auto_panel,auto passthrough: ret_20d
ret_3,15min,trend,3-bar return
ret_3d,15min,auto_panel,auto passthrough: ret_3d
ret_5d,15min,auto_panel,auto passthrough: ret_5d
ret_6,15min,trend,6-bar return
ret_vol_corr_20,15min,auto_panel,auto passthrough: ret_vol_corr_20
rv_12,15min,volatility,12-bar rv negative
signed_vol_imbalance_5m,15min,auto_panel,auto passthrough: signed_vol_imbalance_5m
turn_ma5,15min,auto_panel,auto passthrough: turn_ma5
turn_ratio_5,15min,auto_panel,auto passthrough: turn_ratio_5
vol_chg_1,15min,flow,volume change
vol_chg_1d,15min,auto_panel,auto passthrough: vol_chg_1d
vol_ratio_20,15min,auto_panel,auto passthrough: vol_ratio_20
vol_ratio_5,15min,auto_panel,auto passthrough: vol_ratio_5
volume,15min,auto_panel,auto passthrough: volume
vwap30_vs_day,15min,auto_panel,auto passthrough: vwap30_vs_day
