date,code,fund_mo_cf916e1ce7
2020-09-14,sh.600011,0.3864575775674028
2020-09-14,sh.600015,0.4800825297168245
2020-09-15,sh.600000,-0.11153002831829849
2020-09-15,sh.600009,-1.8484341336307484
2020-09-15,sh.600010,1.0905548023175706
2020-09-15,sh.600011,0.3922416827184351
2020-09-15,sh.600015,0.4771676769130409
2020-09-16,sh.600000,-0.10714504385906207
2020-09-16,sh.600009,-1.8507779500902264
2020-09-16,sh.600010,1.086672606636788
2020-09-16,sh.600011,0.39857828876787815
2020-09-16,sh.600015,0.47267209854462244
2020-09-17,sh.600000,-0.10423455833543138
2020-09-17,sh.600009,-1.8525102622316405
2020-09-17,sh.600010,1.0833427633701813
2020-09-17,sh.600011,0.4028353714447788
2020-09-17,sh.600015,0.47056668575211164
2020-09-18,sh.600000,-0.10381567641949131
2020-09-18,sh.600009,-1.8524356065102505
2020-09-18,sh.600010,1.0840727678125326
2020-09-18,sh.600011,0.4033540927349722
2020-09-18,sh.600015,0.4688244223822371
2020-09-21,sh.600000,-0.09788452587215103
2020-09-21,sh.600009,-1.8559030590537826
2020-09-21,sh.600010,1.0772801122425482
2020-09-21,sh.600011,0.4120112143626744
2020-09-21,sh.600015,0.4644962583207111
2020-09-22,sh.600000,-0.09313472117971214
2020-09-22,sh.600009,-1.858494934665638
2020-09-22,sh.600010,1.0723177617058441
2020-09-22,sh.600011,0.4188904001979564
2020-09-22,sh.600015,0.46042149394154963
2020-09-23,sh.600000,-0.09486098824851698
2020-09-23,sh.600009,-1.8572660803191032
2020-09-23,sh.600010,1.0752217186303283
2020-09-23,sh.600011,0.4163070296384216
2020-09-23,sh.600015,0.4605983202988705
2020-09-24,sh.600000,-0.08813843516635829
2020-09-24,sh.600009,-1.86139132451259
2020-09-24,sh.600010,1.0662459394909032
2020-09-24,sh.600011,0.42617587811928237
2020-09-24,sh.600015,0.4571079420687626
2020-09-25,sh.600000,-0.09263322728160249
2020-09-25,sh.600009,-1.8576605413145968
2020-09-25,sh.600010,1.075926115606308
2020-09-25,sh.600011,0.4192953399302411
2020-09-25,sh.600015,0.45507231305965007
2020-09-28,sh.600000,-0.09698312508737716
2020-09-28,sh.600009,-1.8544523352404738
2020-09-28,sh.600010,1.0835576670588878
2020-09-28,sh.600011,0.41275328948223144
2020-09-28,sh.600015,0.45512450378673186
2020-09-29,sh.600000,-0.08732725640750563
2020-09-29,sh.600009,-1.8611017850190033
2020-09-29,sh.600010,1.0681061093061222
2020-09-29,sh.600011,0.42713835314394666
2020-09-29,sh.600015,0.4531845789764401
2020-09-30,sh.600000,-0.09704772928574672
2020-09-30,sh.600009,-1.8543945821246668
2020-09-30,sh.600010,1.0837063782500955
2020-09-30,sh.600011,0.412653196765335
2020-09-30,sh.600015,0.4550827363949827
2020-10-09,sh.600000,-0.10224563532581506
2020-10-09,sh.600009,-1.8507253941014408
2020-10-09,sh.600010,1.0919613605832443
2020-10-09,sh.600011,0.4048834785368295
2020-10-09,sh.600015,0.45612619030718204
2020-10-12,sh.600000,-0.0972544358228004
2020-10-12,sh.600009,-1.8545857399242343
2020-10-12,sh.600010,1.0828057239782787
2020-10-12,sh.600011,0.41244198047206415
2020-10-12,sh.600015,0.45659247129669167
2020-10-13,sh.600000,-0.08873240138222
2020-10-13,sh.600009,-1.8600086715238155
2020-10-13,sh.600010,1.0708821494472471
2020-10-13,sh.600011,0.4250086132188577
2020-10-13,sh.600015,0.45285031023993083
2020-10-14,sh.600000,-0.08113514828421144
2020-10-14,sh.600009,-1.8653705224989359
2020-10-14,sh.600010,1.0576699472608204
2020-10-14,sh.600011,0.43636452519299856
2020-10-14,sh.600015,0.4524711983293284
2020-10-15,sh.600000,-0.07208778169421873
2020-10-15,sh.600009,-1.8725708605270954
2020-10-15,sh.600010,1.037829892007222
2020-10-15,sh.600011,0.45670437376895345
2020-10-15,sh.600015,0.45012437644513864
2020-10-16,sh.600000,-0.07291192187599176
2020-10-16,sh.600009,-1.8709803946806105
2020-10-16,sh.600010,1.0433864985730024
2020-10-16,sh.600011,0.4485999038693005
2020-10-16,sh.600015,0.4519059141142993
2020-10-19,sh.600000,-0.07417828653068774
2020-10-19,sh.600009,-1.871344358651064
2020-10-19,sh.600010,1.0407877754662436
2020-10-19,sh.600011,0.45766306281839364
2020-10-19,sh.600015,0.4470718068971145
2020-10-20,sh.600000,-0.07520555432868911
2020-10-20,sh.600009,-1.8687957364243195
2020-10-20,sh.600010,1.0498498142708266
2020-10-20,sh.600011,0.44500738786506644
2020-10-20,sh.600015,0.4491440886171155
2020-10-21,sh.600000,-0.07524224648277102
2020-10-21,sh.600009,-1.8703272114793548
2020-10-21,sh.600010,1.0438358632584754
2020-10-21,sh.600011,0.45632935212192105
2020-10-21,sh.600015,0.4454042425817292
2020-10-22,sh.600000,-0.07956971878614541
2020-10-22,sh.600009,-1.870342694261933
2020-10-22,sh.600010,1.039524731038965
2020-10-22,sh.600011,0.4705615612814274
2020-10-22,sh.600015,0.4398261207276859
2020-10-23,sh.600000,-0.08272019190096387
2020-10-23,sh.600009,-1.8703509606102948
2020-10-23,sh.600010,1.036091784142647
2020-10-23,sh.600011,0.4812150864864877
2020-10-23,sh.600015,0.4357642818821242
2020-10-26,sh.600000,-0.07750498953078479
2020-10-26,sh.600009,-1.8713760624915377
2020-10-26,sh.600010,1.037410139510879
2020-10-26,sh.600011,0.4686814902547832
2020-10-26,sh.600015,0.4427894222566601
2020-10-27,sh.600000,-0.07565987615409957
2020-10-27,sh.600009,-1.870258443528249
2020-10-27,sh.600010,1.0437186182364508
2020-10-27,sh.600011,0.4573541633143226
2020-10-27,sh.600015,0.444845538131575
2020-10-28,sh.600000,-0.07868689258199718
2020-10-28,sh.600009,-1.8694932772023694
2020-10-28,sh.600010,1.0438602254394664
2020-10-28,sh.600011,0.4636013074239177
2020-10-28,sh.600015,0.44071863692098223
2020-10-29,sh.600000,-0.07893036043756464
2020-10-29,sh.600009,-1.8693106059693767
2020-10-29,sh.600010,1.0443522872810689
2020-10-29,sh.600011,0.4635371074525803
2020-10-29,sh.600015,0.44035157167329214
2020-10-30,sh.600000,-0.08010979972681674
2020-10-30,sh.600009,-1.8691069602709687
2020-10-30,sh.600010,1.0439947646141001
2020-10-30,sh.600011,0.4664510130047675
2020-10-30,sh.600015,0.4387709823789179
2020-11-02,sh.600000,-0.08515604743291391
2020-11-02,sh.600009,-1.8694976025024668
2020-11-02,sh.600010,1.0369225876973889
2020-11-02,sh.600011,0.4853566394958514
2020-11-02,sh.600015,0.4323744227421405
2020-11-03,sh.600000,-0.08272232660302407
2020-11-03,sh.600009,-1.8670434493060852
2020-11-03,sh.600010,1.0496251644437702
2020-11-03,sh.600011,0.4653383940974072
2020-11-03,sh.600015,0.4348022173679317
2020-11-04,sh.600000,-0.08633215000247754
2020-11-04,sh.600009,-1.8665471301430026
2020-11-04,sh.600010,1.047855465657153
