factor,freq,category,description
fd_hf_growth_flow,M,auto_panel,auto passthrough: fd_hf_growth_flow
fd_hf_growth_intraday,M,auto_panel,auto passthrough: fd_hf_growth_intraday
fd_hf_growth_jump,M,auto_panel,auto passthrough: fd_hf_growth_jump
fd_hf_growth_sentiment,M,auto_panel,auto passthrough: fd_hf_growth_sentiment
fd_hf_growth_vwap,M,auto_panel,auto passthrough: fd_hf_growth_vwap
fd_hf_leverage_flow,M,auto_panel,auto passthrough: fd_hf_leverage_flow
fd_hf_leverage_intraday,M,auto_panel,auto passthrough: fd_hf_leverage_intraday
fd_hf_leverage_jump,M,auto_panel,auto passthrough: fd_hf_leverage_jump
fd_hf_leverage_sentiment,M,auto_panel,auto passthrough: fd_hf_leverage_sentiment
fd_hf_leverage_vwap,M,auto_panel,auto passthrough: fd_hf_leverage_vwap
fd_hf_profitability_flow,M,auto_panel,auto passthrough: fd_hf_profitability_flow
fd_hf_profitability_intraday,M,auto_panel,auto passthrough: fd_hf_profitability_intraday
fd_hf_profitability_jump,M,auto_panel,auto passthrough: fd_hf_profitability_jump
fd_hf_profitability_sentiment,M,auto_panel,auto passthrough: fd_hf_profitability_sentiment
fd_hf_profitability_vwap,M,auto_panel,auto passthrough: fd_hf_profitability_vwap
fd_hf_quality_flow,M,auto_panel,auto passthrough: fd_hf_quality_flow
fd_hf_quality_intraday,M,auto_panel,auto passthrough: fd_hf_quality_intraday
fd_hf_quality_jump,M,auto_panel,auto passthrough: fd_hf_quality_jump
fd_hf_quality_sentiment,M,auto_panel,auto passthrough: fd_hf_quality_sentiment
fd_hf_quality_vwap,M,auto_panel,auto passthrough: fd_hf_quality_vwap
fd_hf_valuation_flow,M,auto_panel,auto passthrough: fd_hf_valuation_flow
fd_hf_valuation_intraday,M,auto_panel,auto passthrough: fd_hf_valuation_intraday
fd_hf_valuation_jump,M,auto_panel,auto passthrough: fd_hf_valuation_jump
fd_hf_valuation_sentiment,M,auto_panel,auto passthrough: fd_hf_valuation_sentiment
fd_hf_valuation_vwap,M,auto_panel,auto passthrough: fd_hf_valuation_vwap
fd_leverage_disp,M,auto_panel,auto passthrough: fd_leverage_disp
fd_leverage_raw_01,M,auto_panel,auto passthrough: fd_leverage_raw_01
fd_leverage_raw_02,M,auto_panel,auto passthrough: fd_leverage_raw_02
fd_leverage_raw_03,M,auto_panel,auto passthrough: fd_leverage_raw_03
fd_leverage_raw_04,M,auto_panel,auto passthrough: fd_leverage_raw_04
fd_leverage_raw_05,M,auto_panel,auto passthrough: fd_leverage_raw_05
fd_leverage_score,M,auto_panel,auto passthrough: fd_leverage_score
fd_leverage_trend,M,auto_panel,auto passthrough: fd_leverage_trend
fd_profitability_disp,M,auto_panel,auto passthrough: fd_profitability_disp
fd_profitability_raw_01,M,auto_panel,auto passthrough: fd_profitability_raw_01
fd_profitability_raw_02,M,auto_panel,auto passthrough: fd_profitability_raw_02
fd_profitability_raw_03,M,auto_panel,auto passthrough: fd_profitability_raw_03
fd_profitability_raw_04,M,auto_panel,auto passthrough: fd_profitability_raw_04
fd_profitability_raw_05,M,auto_panel,auto passthrough: fd_profitability_raw_05
fd_profitability_score,M,auto_panel,auto passthrough: fd_profitability_score
fd_profitability_trend,M,auto_panel,auto passthrough: fd_profitability_trend
fd_quality_disp,M,auto_panel,auto passthrough: fd_quality_disp
fd_quality_raw_01,M,auto_panel,auto passthrough: fd_quality_raw_01
fd_quality_raw_02,M,auto_panel,auto passthrough: fd_quality_raw_02
fd_quality_raw_03,M,auto_panel,auto passthrough: fd_quality_raw_03
fd_quality_raw_04,M,auto_panel,auto passthrough: fd_quality_raw_04
fd_quality_raw_05,M,auto_panel,auto passthrough: fd_quality_raw_05
fd_quality_score,M,auto_panel,auto passthrough: fd_quality_score
fd_quality_trend,M,auto_panel,auto passthrough: fd_quality_trend
fd_valuation_disp,M,auto_panel,auto passthrough: fd_valuation_disp
fd_valuation_raw_01,M,auto_panel,auto passthrough: fd_valuation_raw_01
fd_valuation_raw_02,M,auto_panel,auto passthrough: fd_valuation_raw_02
fd_valuation_raw_03,M,auto_panel,auto passthrough: fd_valuation_raw_03
fd_valuation_raw_04,M,auto_panel,auto passthrough: fd_valuation_raw_04
fd_valuation_raw_05,M,auto_panel,auto passthrough: fd_valuation_raw_05
fd_valuation_score,M,auto_panel,auto passthrough: fd_valuation_score
fd_valuation_trend,M,auto_panel,auto passthrough: fd_valuation_trend
flow_momentum_sync,M,flow,vol change * ret3
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_02,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_02
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_03,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_03
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_04
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_05
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_06
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_07
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_03,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_03
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_04
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_05
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_06
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_07
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_03__fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_03-fd_cashflow_raw_04
fund_cashflow_diff_fd_cashflow_raw_03__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_03-fd_cashflow_raw_05
fund_cashflow_diff_fd_cashflow_raw_03__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_03-fd_cashflow_raw_06
fund_cashflow_diff_fd_cashflow_raw_03__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_03-fd_cashflow_raw_07
fund_cashflow_diff_fd_cashflow_raw_03__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_03-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_03__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_03-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_04__fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_04-fd_cashflow_raw_05
fund_cashflow_diff_fd_cashflow_raw_04__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_04-fd_cashflow_raw_06
fund_cashflow_diff_fd_cashflow_raw_04__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_04-fd_cashflow_raw_07
fund_cashflow_diff_fd_cashflow_raw_04__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_04-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_04__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_04-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_05__fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_05-fd_cashflow_raw_06
fund_cashflow_diff_fd_cashflow_raw_05__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_05-fd_cashflow_raw_07
fund_cashflow_diff_fd_cashflow_raw_05__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_05-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_05__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_05-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_06__fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_06-fd_cashflow_raw_07
fund_cashflow_diff_fd_cashflow_raw_06__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_06-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_06__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_06-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_07__fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_07-fd_cashflow_raw_08
fund_cashflow_diff_fd_cashflow_raw_07__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_07-fd_cashflow_raw_09
fund_cashflow_diff_fd_cashflow_raw_08__fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow diff fd_cashflow_raw_08-fd_cashflow_raw_09
fund_cashflow_lvl_fd_cashflow_disp,M,fundamental_cashflow,fund_cashflow level fd_cashflow_disp
fund_cashflow_lvl_fd_cashflow_raw_01,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_01
fund_cashflow_lvl_fd_cashflow_raw_02,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_02
fund_cashflow_lvl_fd_cashflow_raw_03,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_03
fund_cashflow_lvl_fd_cashflow_raw_04,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_04
fund_cashflow_lvl_fd_cashflow_raw_05,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_05
fund_cashflow_lvl_fd_cashflow_raw_06,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_06
fund_cashflow_lvl_fd_cashflow_raw_07,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_07
fund_cashflow_lvl_fd_cashflow_raw_08,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_08
fund_cashflow_lvl_fd_cashflow_raw_09,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_09
fund_cashflow_lvl_fd_cashflow_raw_10,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_10
fund_cashflow_lvl_fd_cashflow_raw_11,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_11
fund_cashflow_lvl_fd_cashflow_raw_12,M,fundamental_cashflow,fund_cashflow level fd_cashflow_raw_12
fund_cashflow_lvl_fd_cashflow_score,M,fundamental_cashflow,fund_cashflow level fd_cashflow_score
fund_cashflow_lvl_fd_cashflow_trend,M,fundamental_cashflow,fund_cashflow level fd_cashflow_trend
fund_cashflow_neg_fd_cashflow_disp,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_disp
fund_cashflow_neg_fd_cashflow_raw_01,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_01
fund_cashflow_neg_fd_cashflow_raw_02,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_02
fund_cashflow_neg_fd_cashflow_raw_03,M,fundamental_cashflow,fund_cashflow negative fd_cashflow_raw_03
