signal_date,code,entry_date,exit_date,entry_price,exit_price,pred_prob_up,future_ret_ref,gross_trade_ret,net_trade_ret,weight,weighting_mode,industry_bucket,board_type
2025-09-12,sh.601698,2025-09-15,2025-09-22,21.794346718234557,20.901286896299133,0.656418320809534,-0.040976673147499754,-0.040976673147499754,-0.04155191457118412,0.11325738150502275,dynamic_opt,unknown,other_board
2025-09-12,sz.002714,2025-09-15,2025-09-22,57.4152090739132,52.19412721784322,0.6086353731044618,-0.09093551935602218,-0.09093551935602218,-0.09148079446187674,0.11547411539817445,dynamic_opt,unknown,other_board
2025-09-12,sz.300413,2025-09-15,2025-09-22,29.44049287359002,32.629431091936446,0.6085992845844723,0.108318098886381,0.108318098886381,0.10765330746447566,0.08690378486981336,dynamic_opt,unknown,other_board
2025-09-12,sh.600515,2025-09-15,2025-09-22,3.996068250584075,3.996079683221625,0.5965512953466111,2.860971292983905e-06,2.860971292983905e-06,-0.0005969607987585945,0.07429306203463475,dynamic_opt,unknown,other_board
2025-09-12,sz.002415,2025-09-15,2025-09-22,30.220582629625437,30.093346869425986,0.5965512953466111,-0.004210235181757005,-0.004210235181757005,-0.004807529852246861,0.1319347833283924,dynamic_opt,unknown,other_board
2025-09-12,sz.000807,2025-09-15,2025-09-22,20.61187534930096,19.495491320221966,0.5964987042999396,-0.05416217642310739,-0.05416217642310739,-0.054729508917505276,0.09830435271055894,dynamic_opt,unknown,other_board
2025-09-12,sz.002625,2025-09-15,2025-09-22,46.40374438888718,46.65769477301262,0.5902180988809557,0.005472626993119345,0.005472626993119345,0.004869524347717036,0.10558673860861323,dynamic_opt,unknown,other_board
2025-09-19,sh.600023,2025-09-22,2025-09-29,4.933091248585347,4.926230448297901,0.7297738947341966,-0.0013907710080189872,-0.0013907710080189872,-0.001989756849661406,0.03502264520210452,dynamic_opt,unknown,other_board
2025-09-19,sh.600519,2025-09-22,2025-09-29,1454.2466086096745,1441.6789122502173,0.6952446766414233,-0.008642066816627048,-0.008642066816627048,-0.009236703185626305,0.14988940268251646,dynamic_opt,unknown,other_board
2025-09-19,sh.600377,2025-09-22,2025-09-29,12.548419114262039,12.656020894274969,0.6602011430638075,0.008574927170676316,0.008574927170676316,0.007969963703414296,0.01119540990348979,dynamic_opt,unknown,other_board
2025-09-19,sh.601698,2025-09-22,2025-09-29,20.901286896299133,20.396563009766876,0.656418320809534,-0.02414798136772145,-0.02414798136772145,-0.024733316978217457,0.18980881789567258,dynamic_opt,unknown,other_board
2025-09-19,sh.600036,2025-09-22,2025-09-29,41.108821972435344,40.61503772972703,0.6171087108223179,-0.012011636894883604,-0.012011636894883604,-0.012604252128176507,0.1505599754147494,dynamic_opt,unknown,other_board
2025-09-19,sh.601766,2025-09-22,2025-09-29,7.378334509376641,7.181425226445361,0.6171087108223179,-0.026687497386031267,-0.026687497386031267,-0.027271309743892136,0.07449732863134624,dynamic_opt,unknown,other_board
2025-09-19,sh.688981,2025-09-22,2025-09-29,122.12074847383447,131.19796114278634,0.6086353731044618,0.07432981522296922,0.07432981522296922,0.07368541065520562,0.046437161762013686,dynamic_opt,unknown,other_board
2025-09-19,sh.600089,2025-09-22,2025-09-29,16.1955370898017,16.427276262825448,0.5964987042999396,0.014308829138408807,0.014308829138408807,0.013700426361759055,0.10627004601583313,dynamic_opt,unknown,other_board
2025-09-19,sh.600588,2025-09-22,2025-09-29,14.762290179981054,14.964465799228806,0.5902180988809557,0.013695410182419154,0.013695410182419154,0.01308737534676041,0.10481472461432821,dynamic_opt,unknown,other_board
2025-09-19,sz.002625,2025-09-22,2025-09-29,46.65769477301262,48.96190834554938,0.5902180988809557,0.049385499728299864,0.049385499728299864,0.04875605726120291,0.13150448787694602,dynamic_opt,unknown,other_board
2025-09-26,sh.600011,2025-09-29,2025-10-14,7.103841112720513,7.282947530528286,0.6909838593861521,0.02521261595871427,0.02521261595871427,0.024597672872065157,0.10446005425890882,dynamic_opt,unknown,other_board
2025-09-26,sh.601377,2025-09-29,2025-10-14,6.340712730188525,6.615223709888413,0.6909838593861521,0.04329339482482486,0.04329339482482486,0.042667606524420254,0.12017226589188833,dynamic_opt,unknown,other_board
2025-09-26,sh.601238,2025-09-29,2025-10-14,7.502579156358496,7.608549123130128,0.6909838593861521,0.014124471673292227,0.014124471673292227,0.01351617947794681,0.06460168910827381,dynamic_opt,unknown,other_board
2025-09-26,sh.600025,2025-09-29,2025-10-14,9.524860823779827,9.721850886943633,0.6212438062288401,0.020681673654588062,0.020681673654588062,0.020069448317996397,0.06539554984340783,dynamic_opt,unknown,other_board
2025-09-26,sh.603893,2025-09-29,2025-10-14,212.1742529057555,207.34199752245277,0.5959366164156957,-0.022774937661499073,-0.022774937661499073,-0.02336109685114518,0.11216126300892681,dynamic_opt,unknown,other_board
2025-09-26,sh.601818,2025-09-29,2025-10-14,3.4163074691982733,3.344480330536635,0.5906730243594135,-0.021024787525776634,-0.021024787525776634,-0.02161199649057166,0.05479552067229421,dynamic_opt,unknown,other_board
2025-09-26,sh.600036,2025-09-29,2025-10-14,40.61503772972703,39.926712339096724,0.5906730243594135,-0.016947550195859806,-0.016947550195859806,-0.01753720476937015,0.21450313182145095,dynamic_opt,unknown,other_board
2025-09-26,sz.002252,2025-09-29,2025-10-14,6.638207978263554,6.736227730189232,0.5906730243594135,0.014765995920227759,0.014765995920227759,0.01415731892577421,0.06634278788503813,dynamic_opt,unknown,other_board
2025-09-26,sh.688303,2025-09-29,2025-10-14,28.41287467720892,28.57484907583218,0.5902180988809557,0.005700739557767509,0.005700739557767509,0.005097500085874618,0.11677110642284189,dynamic_opt,unknown,other_board
2025-09-26,sz.302132,2025-09-29,2025-10-14,85.97684415936399,89.59312892506125,0.5902180988809557,0.042061147987627834,0.042061147987627834,0.04143609881358756,0.08079663108596942,dynamic_opt,unknown,other_board
2025-10-13,sz.002475,2025-10-14,2025-10-21,59.316709641637395,59.791084223057524,0.8031919383684858,0.007997317860094721,0.007997317860094721,0.007392700854480294,0.13832571435293184,dynamic_opt,unknown,other_board
2025-10-13,sz.300418,2025-10-14,2025-10-21,45.78948300941824,40.990627440083365,0.8031919383684858,-0.10480257155008099,-0.10480257155008099,-0.10533952891993992,0.18404850000068027,dynamic_opt,unknown,other_board
2025-10-13,sh.600019,2025-10-14,2025-10-21,7.295162592671214,7.179975021685354,0.7456638243676444,-0.015789582414868053,-0.015789582414868053,-0.016379931560675298,0.06779136357345189,dynamic_opt,unknown,other_board
2025-10-13,sh.600905,2025-10-14,2025-10-21,4.344063417648845,4.301660034750043,0.6212438062288401,-0.009761225567637366,-0.009761225567637366,-0.010355190642774237,0.05010686886835429,dynamic_opt,unknown,other_board
2025-10-13,sh.601898,2025-10-14,2025-10-21,11.818559601201347,12.988422895618571,0.6086353731044618,0.09898526841606059,0.09898526841606059,0.09832607501303192,0.028676618744224378,dynamic_opt,unknown,other_board
2025-10-13,sz.300661,2025-10-14,2025-10-21,85.2676679337789,73.61049318148493,0.6085992845844723,-0.13671271930819184,-0.13671271930819184,-0.13723053633149995,0.1341699707666048,dynamic_opt,unknown,other_board
2025-10-13,sh.603501,2025-10-14,2025-10-21,138.28521906500055,127.80015578096132,0.5959366164156957,-0.07582201015360635,-0.07582201015360635,-0.07637635064536652,0.18404850000068027,dynamic_opt,unknown,other_board
