signal_date,code,entry_date,exit_date,entry_price,exit_price,pred_prob_up,future_ret_ref,gross_trade_ret,net_trade_ret
2025-08-15,sh.600000,2025-08-18,2025-08-25,13.550118923418108,13.847259917185132,0.5607361051685562,0.02192903216904374,0.02192903216904374,0.02131605864180064
2025-08-15,sh.605499,2025-08-18,2025-08-25,283.04703259771736,298.4385357185168,0.5607361051685562,0.054377899600430046,0.054377899600430046,0.053745462591772375
2025-08-15,sz.000333,2025-08-18,2025-08-25,71.81720094043419,72.15242292675202,0.5607361051685562,0.00466771166137292,0.00466771166137292,0.004065091820328659
2025-08-15,sh.600887,2025-08-18,2025-08-25,26.979967044139578,27.349324153595028,0.5607361051685562,0.013690050430757106,0.013690050430757106,0.013082018809985163
2025-08-15,sh.600900,2025-08-18,2025-08-25,27.609636543267275,28.270420584377515,0.5607361051685562,0.023933094522041287,0.023933094522041287,0.023318918918009413
2025-08-15,sh.600919,2025-08-18,2025-08-25,10.985583898620533,11.006491899902796,0.5607361051685562,0.001903221665248589,0.001903221665248589,0.0013022600207430735
2025-08-15,sh.600926,2025-08-18,2025-08-25,15.491717966062305,15.651401113085083,0.5607361051685562,0.010307646148192573,0.010307646148192573,0.009701643361339718
2025-08-15,sz.000001,2025-08-18,2025-08-25,11.826316715931796,12.026655910624203,0.5607361051685562,0.016940117494190332,0.016940117494190332,0.016330136418016616
2025-08-15,sh.601009,2025-08-18,2025-08-25,11.264404614727624,11.032598943524738,0.5607361051685562,-0.020578599502790618,-0.020578599502790618,-0.021166076100109676
2025-08-15,sh.688187,2025-08-18,2025-08-25,45.219217065310524,49.337234208847114,0.5607361051685562,0.0910678558982525,0.0910678558982525,0.09041341151802773
2025-08-15,sh.601998,2025-08-18,2025-08-25,7.80563690174874,7.806049598745461,0.5607361051685562,5.287166196876747e-05,5.287166196876747e-05,-0.0005469801054981405
2025-08-15,sz.000725,2025-08-18,2025-08-25,3.9633207233787724,4.1616365901703025,0.5607361051685562,0.05003780431410898,0.05003780431410898,0.04940797058164037
2025-08-15,sh.601988,2025-08-18,2025-08-25,5.342026803616573,5.562994016703702,0.5607361051685562,0.04136392818854673,0.04136392818854673,0.04073929722092395
2025-08-15,sh.601939,2025-08-18,2025-08-25,8.947477011148976,8.96074335318424,0.5607361051685562,0.0014826908208573908,0.0014826908208573908,0.0008819814191856068
2025-08-15,sh.601288,2025-08-18,2025-08-25,6.71436146363295,7.05140513578343,0.5607361051685562,0.0501974274061594,0.0501974274061594,0.04956749792855919
