factor,freq,category,description
hf_30min_to_W_std_close,W,auto_panel,auto passthrough: hf_30min_to_W_std_close
hf_30min_to_W_std_close_to_vwap_day,W,auto_panel,auto passthrough: hf_30min_to_W_std_close_to_vwap_day
hf_30min_to_W_std_crowding_proxy_raw,W,auto_panel,auto passthrough: hf_30min_to_W_std_crowding_proxy_raw
hf_30min_to_W_std_high,W,auto_panel,auto passthrough: hf_30min_to_W_std_high
hf_30min_to_W_std_last30_momentum,W,auto_panel,auto passthrough: hf_30min_to_W_std_last30_momentum
hf_30min_to_W_std_low,W,auto_panel,auto passthrough: hf_30min_to_W_std_low
hf_30min_to_W_std_ma_gap_12,W,auto_panel,auto passthrough: hf_30min_to_W_std_ma_gap_12
hf_30min_to_W_std_ma_gap_6,W,auto_panel,auto passthrough: hf_30min_to_W_std_ma_gap_6
hf_30min_to_W_std_morning_momentum_30m,W,auto_panel,auto passthrough: hf_30min_to_W_std_morning_momentum_30m
hf_30min_to_W_std_open,W,auto_panel,auto passthrough: hf_30min_to_W_std_open
hf_30min_to_W_std_range_norm,W,auto_panel,auto passthrough: hf_30min_to_W_std_range_norm
hf_30min_to_W_std_realized_vol_20,W,auto_panel,auto passthrough: hf_30min_to_W_std_realized_vol_20
hf_30min_to_W_std_ret_1,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_1
hf_30min_to_W_std_ret_12,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_12
hf_30min_to_W_std_ret_1d,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_1d
hf_30min_to_W_std_ret_20d,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_20d
hf_30min_to_W_std_ret_3,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_3
hf_30min_to_W_std_ret_5d,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_5d
hf_30min_to_W_std_ret_6,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_6
hf_30min_to_W_std_ret_vol_corr_20,W,auto_panel,auto passthrough: hf_30min_to_W_std_ret_vol_corr_20
hf_30min_to_W_std_rv_12,W,auto_panel,auto passthrough: hf_30min_to_W_std_rv_12
hf_30min_to_W_std_vol_chg_1,W,auto_panel,auto passthrough: hf_30min_to_W_std_vol_chg_1
hf_30min_to_W_std_volume,W,auto_panel,auto passthrough: hf_30min_to_W_std_volume
hf_5min_to_W_last_amihud_20,W,auto_panel,auto passthrough: hf_5min_to_W_last_amihud_20
hf_5min_to_W_last_amount,W,auto_panel,auto passthrough: hf_5min_to_W_last_amount
hf_5min_to_W_last_amount_ratio_12,W,auto_panel,auto passthrough: hf_5min_to_W_last_amount_ratio_12
hf_5min_to_W_last_close,W,auto_panel,auto passthrough: hf_5min_to_W_last_close
hf_5min_to_W_last_close_to_vwap_day,W,auto_panel,auto passthrough: hf_5min_to_W_last_close_to_vwap_day
hf_5min_to_W_last_crowding_proxy_raw,W,auto_panel,auto passthrough: hf_5min_to_W_last_crowding_proxy_raw
hf_5min_to_W_last_high,W,auto_panel,auto passthrough: hf_5min_to_W_last_high
hf_5min_to_W_last_last30_momentum,W,auto_panel,auto passthrough: hf_5min_to_W_last_last30_momentum
hf_5min_to_W_last_low,W,auto_panel,auto passthrough: hf_5min_to_W_last_low
hf_5min_to_W_last_ma_gap_12,W,auto_panel,auto passthrough: hf_5min_to_W_last_ma_gap_12
